,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,vwap,Day_Perc_Change,Trend
55,2018-06-26,73.45,73.0,73.95,71.8,72.55,73.05,72.82,347334,25291474.65,2362,156619,45.09,6,2018,73.04353457164625,-0.00544588155207637,Slight or No change
56,2018-06-27,73.05,72.65,73.95,70.0,73.4,72.75,71.82,615039,44172254.9,3971,271461,44.14,6,2018,73.04278873431862,-0.004106776180698102,Slight or No change
57,2018-06-28,72.75,73.5,74.8,73.0,73.6,74.1,73.98,765093,56601966.45,9684,339352,44.35,6,2018,73.04611983424348,0.01855670103092777,Slight or No change
58,2018-06-29,74.1,74.35,77.2,74.35,77.0,76.85,76.68,1434309,109986253.0,7430,757378,52.8,6,2018,73.0684567622149,0.037112010796221284,Slight or No change
59,2018-07-02,76.85,76.9,77.2,73.75,73.75,74.15,74.83,397673,29758189.1,3922,173112,43.53,7,2018,73.07021475620935,-0.03513337670787231,Slight or No change
60,2018-07-03,74.15,73.85,74.35,72.65,72.75,72.95,73.24,358312,26244198.55,3903,152397,42.53,7,2018,73.07003895132328,-0.01618341200269724,Slight or No change
61,2018-07-04,72.95,72.95,74.4,71.8,72.35,72.65,72.85,730881,53243266.25,4983,406226,55.58,7,2018,73.06878968665333,-0.004112405757368043,Slight or No change
62,2018-07-05,72.65,72.45,73.55,71.6,71.8,72.05,72.62,249308,18104994.4,2479,117230,47.02,7,2018,73.06775716634087,-0.008258774948382785,Slight or No change
63,2018-07-06,72.05,71.8,73.75,71.3,72.75,72.75,72.71,316737,23029577.2,2329,139034,43.9,7,2018,73.0673485524089,0.009715475364330262,Slight or No change
64,2018-07-09,72.75,73.0,73.75,72.4,72.7,72.85,73.02,153710,11224276.85,1501,66390,43.19,7,2018,73.06721300008928,0.0013745704467353903,Slight or No change
65,2018-07-10,72.85,73.35,75.8,73.0,74.55,74.8,74.8,654263,48937786.7,5492,286740,43.83,7,2018,73.07180069223062,0.026767330130404998,Slight or No change
66,2018-07-11,74.8,74.6,79.9,74.6,77.7,77.65,78.13,3235521,252780909.1,40414,1618577,50.03,7,2018,73.13096861269736,0.038101604278075074,Slight or No change
67,2018-07-12,77.65,78.15,80.5,77.8,78.6,78.8,79.08,1942177,153584868.9,22152,1143083,58.86,7,2018,73.17460903110243,0.014810045074050038,Slight or No change
68,2018-07-13,78.8,79.5,79.8,74.5,75.65,75.55,76.45,833505,63718058.25,8448,434893,52.18,7,2018,73.18243074880994,-0.04124365482233505,Slight or No change
69,2018-07-16,75.55,75.05,76.0,72.45,74.25,73.75,73.68,620634,45726449.0,4984,321843,51.86,7,2018,73.18381894141719,-0.02382528127068162,Slight or No change
70,2018-07-17,73.75,74.35,75.25,73.5,74.0,74.2,74.4,418992,31174771.3,4208,213704,51.0,7,2018,73.18549409878975,0.006101694915254363,Slight or No change
71,2018-07-18,74.2,74.8,75.2,72.75,73.5,74.0,73.96,1479785,109439471.25,4431,1247884,84.33,7,2018,73.19020875990871,-0.0026954177897574594,Slight or No change
72,2018-07-19,74.0,74.1,74.5,73.05,73.5,73.9,73.91,201717,14909505.65,2951,94640,46.92,7,2018,73.19076837345705,-0.0013513513513512265,Slight or No change
73,2018-07-20,73.9,74.6,75.45,73.2,75.45,74.9,74.57,301490,22482937.55,5001,185017,61.37,7,2018,73.19278013939523,0.013531799729364025,Slight or No change
74,2018-07-23,74.9,76.0,78.5,75.3,77.85,77.65,77.25,898533,69415589.4,9500,309041,34.39,7,2018,73.2083606234164,0.03671562082777036,Slight or No change
75,2018-07-24,77.65,77.65,78.45,76.3,76.5,76.7,77.05,341120,26283543.55,3754,122580,35.93,7,2018,73.21298809190363,-0.012234385061171915,Slight or No change
76,2018-07-25,76.7,76.7,78.55,76.0,77.1,77.6,77.68,431358,33508052.55,3442,221981,51.46,7,2018,73.22032792788607,0.011734028683181075,Slight or No change
77,2018-07-26,77.6,77.6,83.85,77.15,82.3,81.75,81.57,1660530,135442021.2,10950,602247,36.27,7,2018,73.27491258638011,0.053479381443299,Slight or No change
78,2018-07-27,81.75,82.95,84.6,80.9,82.0,81.9,82.75,969417,80215180.85,10775,420335,43.36,7,2018,73.30701562859055,0.0018348623853212676,Slight or No change
79,2018-07-30,81.9,81.95,82.35,78.5,79.6,79.6,79.66,785646,62580909.25,20416,457566,58.24,7,2018,73.32594113659574,-0.028083028083028205,Slight or No change
80,2018-07-31,79.6,79.65,79.65,77.6,77.75,78.0,78.32,768527,60190083.85,4116,620014,80.68,7,2018,73.33965126540099,-0.02010050251256279,Slight or No change
81,2018-08-01,78.0,77.8,79.0,76.0,76.15,76.3,77.36,422485,32685443.35,3179,237838,56.3,8,2018,73.34441714055268,-0.02179487179487183,Slight or No change
82,2018-08-02,76.3,76.1,83.0,75.45,80.35,81.5,79.56,3095392,246278473.7,15801,1329381,42.95,8,2018,73.43949218809438,0.06815203145478388,Slight or No change
83,2018-08-03,81.5,82.25,84.45,80.35,83.6,83.4,82.44,1972241,162598239.05,11976,556407,28.21,8,2018,73.51293063016868,0.02331288343558291,Slight or No change
84,2018-08-06,83.4,84.1,86.25,83.0,84.1,84.7,84.65,1421396,120314976.05,12412,534638,37.61,8,2018,73.57206116547044,0.015587529976019088,Slight or No change
85,2018-08-07,84.7,84.9,84.9,81.6,82.65,82.75,82.98,682068,56596282.7,4500,238799,35.01,8,2018,73.59528067804776,-0.023022432113341207,Slight or No change
86,2018-08-08,82.75,83.5,84.5,82.2,82.5,82.85,83.18,547155,45510587.35,3474,192426,35.17,8,2018,73.61402515726068,0.0012084592145014117,Slight or No change
87,2018-08-09,82.85,82.9,82.95,81.2,81.4,81.6,81.96,391368,32075804.35,3097,215866,55.16,8,2018,73.62557787834862,-0.015087507543753764,Slight or No change
88,2018-08-10,81.6,81.6,82.0,80.1,81.0,80.65,80.82,332250,26852897.6,2477,182906,55.05,8,2018,73.63419403520676,-0.011642156862744946,Slight or No change
89,2018-08-13,80.65,80.2,82.0,77.65,78.6,78.55,80.44,452057,36364204.8,4220,216889,47.98,8,2018,73.64238437169672,-0.02603843769373848,Slight or No change
90,2018-08-14,78.55,81.5,81.5,78.05,79.25,79.75,79.66,1466615,116823648.15,13900,261384,17.82,8,2018,73.67522114004821,0.015276893698281446,Slight or No change
